Aircraft Profile,Full Aircraft Name,Virtual Airlines,Maximum Range,Minimum Takeoff Runway Length,Minimum Landing Runway Length,Passenger Capacity,IATA Equipment Code(s),ETOPS Rating,Maximum Weight,Maximum Zero Fuel Weight,Maximum Takeoff Weight,Maximum Landing Weight,Engine Information,Cruise Speed,Fuel Flow,Base Fuel,Taxi Fuel,Primary Tanks,Primary Percentage,Secondary Tanks,Secondary Percentage,Other Tanks
B747-400,Boeing 747-400,"AFV, DVA","8,355 Statute Miles","4,800 feet","5,200 feet",446 seats,"744, 747",,"877,000 pounds","555,000 pounds","875,000 pounds","630,000 pounds",4 x P&W PW4060,470 knots,"5,510 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Center 2, Left Aux, Right Aux"
B747-400D,Boeing 747-400 Domestic,DVA,"2,591 Statute Miles","4,800 feet","5,500 feet",660 seats,74J,,"875,000 pounds","555,000 pounds","875,000 pounds","630,000 pounds",4 x GE CF-6-80C2B1F,490 knots,"5,510 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B747-400ER,Boeing 747-400ER,DVA,"8,730 Statute Miles","6,800 feet","5,200 feet",420 seats,744,,"915,000 pounds","555,000 pounds","910,000 pounds","650,000 pounds",4 x CF6-80C2B5F,470 knots,"5,510 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Center 2, Left Aux, Right Aux"
B747-400ERF,Boeing 747-400 Extended Range Freighter,"AFV, DVA","5,735 Statute Miles","9,990 feet","7,000 feet",10 seats,"47ERF, 747ERF, 74ERF, 74F",,"913,000 pounds","611,000 pounds","910,000 pounds","666,000 pounds",4 x General Electric CF6-80C2B5F,470 knots,"5,510 pounds per engine per hour","6,000 pounds","3,000 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Center 2, Left Aux"
B747-400F,Boeing 747-400 Freighter,"AFV, DVA","5,125 Statute Miles","9,950 feet","7,000 feet",10 seats,"74F, 74Y",,"877,000 pounds","610,000 pounds","875,000 pounds","630,000 pounds",4 x P&W PW4060,470 knots,"5,510 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Left Aux, Right Aux"
B747-400M,Boeing 747-400 Combi,DVA,"8,355 Statute Miles","4,800 feet","5,200 feet",268 seats,"74E, 74M",,"877,000 pounds","555,000 pounds","875,000 pounds","630,000 pounds",4 x GE CF6-80C2B1F,470 knots,"5,510 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Center 2, Left Aux, Right Aux"
B747-8,Boeing 747-8,"AFV, DVA","8,895 Statute Miles","6,200 feet","6,300 feet",467 seats,"748, 74H",,"990,000 pounds","651,000 pounds","987,000 pounds","688,000 pounds",4 x GENX-2B67,470 knots,"5,500 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Center 2, Left Aux, Right Aux"
B747-8F,Boeing 747-8F,"AFV, DVA","4,908 Statute Miles","9,500 feet","7,000 feet",10 seats,"748F, 74H",,"990,000 pounds","727,000 pounds","987,000 pounds","763,000 pounds",4 x GEnx-2B67,488 knots,"5,500 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Center 2, Left Aux, Right Aux"
B757-200,Boeing 757-200,"AFV, DVA","4,500 Statute Miles","5,900 feet","4,850 feet",199 seats,"752, 757, 75W",This Aircraft is ETOPS-rated (ETOPS180),"256,000 pounds","184,000 pounds","255,000 pounds","198,000 pounds",2 x P&W PW2037,470 knots,"3,250 pounds per engine per hour","4,000 pounds","1,750 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B757-300,Boeing 757-300,"AFV, DVA","4,000 Statute Miles","5,350 feet","4,660 feet",243 seats,753,This Aircraft is ETOPS-rated (ETOPS180),"273,500 pounds","210,000 pounds","272,500 pounds","224,000 pounds",2 x P&W PW2037,460 knots,"3,550 pounds per engine per hour","6,000 pounds","2,000 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B767-200,B767-200,"AFV, DVA","6,000 Statute Miles","6,430 feet","2,300 feet",211 seats,762,This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS138),"396,000 pounds","260,000 pounds","395,000 pounds","300,000 pounds",2 x JT9D,460 knots,"4,800 pounds per engine per hour","5,000 pounds","2,100 pounds","Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,Center,Fill to 100 percent before filling Other tanks,NONE
B767-200ER,B767-200ER,"AFV, DVA","6,000 Statute Miles","6,430 feet","2,300 feet",224 seats,76X,This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS180),"396,000 pounds","260,000 pounds","395,000 pounds","300,000 pounds",2 x P&W JT9D,460 knots,"4,800 pounds per engine per hour","5,000 pounds","2,100 pounds","Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,Center,Fill to 100 percent before filling Other tanks,NONE
B767-300,Boeing 767-300,"AFV, DVA","4,603 Statute Miles","6,430 feet","5,300 feet",261 seats,763,This Aircraft is ETOPS-rated (ETOPS120),"413,000 pounds","278,000 pounds","350,000 pounds","320,000 pounds",2 x P&W PW4600,460 knots,"4,800 pounds per engine per hour","5,000 pounds","2,000 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B767-300ER,B767-300ER,"AFV, DVA","6,906 Statute Miles","6,430 feet","5,300 feet",226 seats,"763, 767, 76W",This Aircraft is ETOPS-rated (ETOPS180),"413,000 pounds","295,000 pounds","412,000 pounds","320,000 pounds",2 x P&W JT9D-7R4,460 knots,"4,800 pounds per engine per hour","5,000 pounds","2,000 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B767-400ER,Boeing 767-400ER,"AFV, DVA","6,500 Statute Miles","6,430 feet","2,300 feet",246 seats,764,This Aircraft is ETOPS-rated (ETOPS180),"451,000 pounds","330,000 pounds","450,000 pounds","350,000 pounds",2 x P&W PW4600,470 knots,"5,400 pounds per engine per hour","5,000 pounds","2,000 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B777-200,Boeing 777-200,"AFV, DVA","6,030 Statute Miles","6,999 feet","5,200 feet",331 seats,777,This Aircraft is ETOPS-rated (ETOPS330),"547,000 pounds","420,000 pounds","545,000 pounds","445,000 pounds",2 x RR Trent 892,480 knots,"8,300 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B777-200ER,Boeing 777-200ER,"AFV, DVA","8,890 Statute Miles","6,999 feet","5,200 feet",313 seats,"772, 77E",This Aircraft is ETOPS-rated (ETOPS330),"656,000 pounds","442,000 pounds","656,000 pounds","470,000 pounds",2 x RR Trent 892,480 knots,"8,300 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B777-200LR,Boeing 777-200LR,"AFV, DVA","11,155 Statute Miles","8,000 feet","5,600 feet",291 seats,"77L, B77L",This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS330),"766,132 pounds","547,094 pounds","766,132 pounds","575,099 pounds",2 x GE90-110B1,480 knots,"8,200 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 99 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B777-300,Boeing 777-300,"AFV, DVA","6,939 Statute Miles","9,990 feet","6,000 feet",401 seats,773,This Aircraft is ETOPS-rated (ETOPS330),"662,000 pounds","495,000 pounds","660,000 pounds","524,000 pounds",2 x GE90-9,480 knots,"9,200 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B777-300ER,Boeing 777-300ER,"AFV, DVA","8,481 Statute Miles","9,990 feet","6,000 feet",365 seats,77W,This Aircraft is ETOPS-rated (ETOPS330),"777,000 pounds","529,000 pounds","775,000 pounds","554,000 pounds",2 x GE90-110B1/115B,482 knots,"8,265 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B787-10,Boeing 787-10,"AFV, DVA","7,250 Statute Miles","9,100 feet","7,500 feet",336 seats,"781, 78J",This Aircraft is ETOPS-rated (ETOPS330),"585,000 pounds","425,000 pounds","560,000 pounds","445,000 pounds",2 x Rolls-Royce Trent 1000,488 knots,"6,600 pounds per engine per hour","6,000 pounds",600 pounds,"Left Main, Left Aux, Right Main, Right Aux",Fill to 90 percent before filling Secondary tanks,"Center, Center 2, Center 3",Fill to 0 percent before filling Other tanks,NONE
B787-8,Boeing 787-8,"AFV, DVA","8,720 Statute Miles","8,100 feet","6,300 feet",296 seats,"787, 788",This Aircraft is ETOPS-rated (ETOPS330),"505,000 pounds","355,000 pounds","502,500 pounds","380,000 pounds",2 x RR Trent 1000,490 knots,"5,750 pounds per engine per hour","6,000 pounds",600 pounds,"Left Main, Left Aux, Right Main, Right Aux",Fill to 100 percent before filling Secondary tanks,"Center, Center 2, Center 3",Fill to 100 percent before filling Other tanks,NONE
B787-9,Boeing 787-9,"AFV, DVA","9,550 Statute Miles","9,300 feet","7,200 feet",330 seats,789,This Aircraft is ETOPS-rated (ETOPS330),"560,000 pounds","400,000 pounds","560,000 pounds","425,000 pounds",2 x General Electric GEnx-1B,490 knots,"6,300 pounds per engine per hour","6,000 pounds",600 pounds,"Left Main, Left Aux, Right Main, Right Aux",Fill to 100 percent before filling Secondary tanks,"Center, Center 2, Center 3",Fill to 90 percent before filling Other tanks,NONE
BAE-146,BAE-146,"AFV, DVA","1,200 Statute Miles","4,500 feet","3,000 feet",97 seats,"142, 146, AR8",,"101,500 pounds","97,500 pounds","97,500 pounds","84,500 pounds",4 x ALF 502R-5,414 knots,"1,025 pounds per engine per hour","4,100 pounds",700 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
BE58,Beechcraft G58 Baron,DVA,942 Statute Miles,"2,300 feet","1,300 feet",6 seats,BE58,,"5,524 pounds","4,530 pounds","5,500 pounds","5,400 pounds",2 x Continental IO-550-C,195 knots,153 pounds per engine per hour,120 pounds,5 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
C-46,Curtis C-46 Commando,DVA,"2,878 Statute Miles","3,500 feet","3,500 feet",40 seats,C46,,"48,000 pounds","42,500 pounds","45,000 pounds","44,000 pounds",1 x P&W R-2800-51,170 knots,550 pounds per engine per hour,"8,436 pounds",300 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,"Left Aux, Right Aux",Fill to 0 percent before filling Other tanks,NONE
C172,Cessna 172 Skyhawk,"AFV, DVA",736 Statute Miles,"1,525 feet","1,250 feet",4 seats,C172,,"2,558 pounds","2,032 pounds","2,550 pounds","2,550 pounds",1 x Lycoming IO-360-L2A,115 knots,100 pounds per engine per hour,100 pounds,12 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
C90,Beechcraft King Air 90,DVA,"1,009 Statute Miles","1,984 feet","2,100 feet",8 seats,"C90, C90G, C90GT",,"10,545 pounds","8,133 pounds","10,485 pounds","9,832 pounds",2 x P&W PT6A-135A,272 knots,385 pounds per engine per hour,200 pounds,20 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,"Left Aux, Right Aux",Fill to 99 percent before filling Other tanks,NONE
Caravelle,Caravelle III,"AFV, DVA","1,500 Statute Miles","6,320 feet","5,170 feet",80 seats,CRV,,"106,922 pounds","80,467 pounds","105,820 pounds","100,750 pounds",2 x Rolls-Royce Avon Mk.527 turbojet,445 knots,"3,000 pounds per engine per hour","2,500 pounds","1,500 pounds","Center, Left Main, Right Main",Fill to 0 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
Comet,de Havilland Comet,"AFV, DVA","2,800 Statute Miles",,,44 seats,,,"175,000 pounds","90,000 pounds","162,000 pounds","120,000 pounds",4 x Rolls-Royce Avon Mk 524,400 knots,"2,100 pounds per engine per hour","1,400 pounds",400 pounds,"Center, Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
Concorde,Concorde,"AFV, DVA","4,488 Statute Miles","9,515 feet","6,500 feet",108 seats,SSC,,"410,676 pounds","203,000 pounds","408,000 pounds","245,000 pounds",4 x RR Olympus,"1,100 knots","11,000 pounds per engine per hour","25,000 pounds","3,000 pounds","Center, Center 2",Fill to 75 percent before filling Secondary tanks,"Left Main, Left Aux, Right Main, Right Aux",Fill to 0 percent before filling Other tanks,NONE
Constellation,Constellation,"AFV, DVA","3,999 Statute Miles","4,600 feet","3,550 feet",86 seats,"749, CONI, L49",,"141,000 pounds","85,000 pounds","137,500 pounds","85,000 pounds",4 x Wright R-3350-DA3 Turbo Compound,240 knots,640 pounds per engine per hour,250 pounds,100 pounds,"Center, Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,"Center 2, Center 3",Fill to 90 percent before filling Other tanks,"External, External 2"
CRJ-1000,Bombardier CRJ-1000,"AFV, DVA","1,800 Statute Miles","5,000 feet","3,500 feet",92 seats,CRK,,"92,300 pounds","77,500 pounds","91,800 pounds","81,500 pounds",2 x GE CF34-8C5A1,447 knots,"2,800 pounds per engine per hour","2,000 pounds","1,000 pounds","Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
CRJ-200,Bombardier CRJ-200,"AFV, DVA","2,000 Statute Miles","4,800 feet","4,000 feet",50 seats,"CARJ, CR2, CRJ",This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS60),"53,250 pounds","44,000 pounds","53,000 pounds","47,000 pounds",2 x GE CF34-3B1,420 knots,"1,625 pounds per engine per hour","2,000 pounds","1,000 pounds","Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
CRJ-700,Bombardier CRJ-700,"AFV, DVA","1,983 Statute Miles","5,000 feet","3,450 feet",70 seats,"CR7, CRJ7",,"81,000 pounds","62,300 pounds","77,000 pounds","67,600 pounds",2 x GE CF34-8C1,440 knots,"1,800 pounds per engine per hour","2,250 pounds",400 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
CRJ-900,Bombardier CRJ-900,"AFV, DVA","2,104 Statute Miles","5,000 feet","3,500 feet",82 seats,"CR9, CRJ9",,"81,500 pounds","70,000 pounds","80,500 pounds","73,500 pounds",2 x GE CF34-8C1,420 knots,"2,800 pounds per engine per hour","2,000 pounds","1,000 pounds","Center, Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
CV-240,Convair 240,DVA,"1,400 Statute Miles","3,500 feet","3,500 feet",40 seats,CVR,,"42,500 pounds","38,150 pounds","42,500 pounds","39,800 pounds",2 x R-2800-CB16,248 knots,600 pounds per engine per hour,"1,545 pounds",100 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
CV-340,Convair 340,"AFV, DVA","1,200 Statute Miles","2,760 feet","3,970 feet",44 seats,,,"42,500 pounds","35,275 pounds","42,500 pounds","42,500 pounds",2 x PW R-2800,244 knots,400 pounds per engine per hour,"1,000 pounds",300 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
CV-440,Convair 440,"AFV, DVA","1,200 Statute Miles","5,000 feet","1,500 feet",44 seats,,,"47,050 pounds","29,500 pounds","47,000 pounds","42,500 pounds",2 x PW R-2800,244 knots,400 pounds per engine per hour,"1,000 pounds",300 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
CV-580,Convair 580,DVA,"4,000 Statute Miles","4,000 feet","4,000 feet",52 seats,"CV5, CVR",,"55,000 pounds","49,000 pounds","54,600 pounds","52,000 pounds",2 x Allison 501-D13,295 knots,"1,000 pounds per engine per hour","1,730 pounds",100 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
CV-880,Convair CV-880,"AFV, DVA","2,500 Statute Miles","7,500 feet","4,000 feet",110 seats,880,,"185,500 pounds","175,000 pounds","184,500 pounds","180,000 pounds",4 x GE CJ805-3,480 knots,"2,700 pounds per engine per hour","7,000 pounds","1,500 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,"Left Aux, Right Aux",Fill to 0 percent before filling Other tanks,NONE
CV-990,Convair CV-990,"AFV, DVA","4,000 Statute Miles","8,000 feet","4,000 feet",110 seats,990,,"254,000 pounds","175,000 pounds","253,000 pounds","200,000 pounds",4 x GE CJ805-23,500 knots,"2,950 pounds per engine per hour","8,000 pounds","2,250 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,"Left Aux, Right Aux",Fill to 0 percent before filling Other tanks,NONE
DC-10-10,McDonnell-Douglas DC-10 Series 10,"AFV, DVA","4,500 Statute Miles","8,500 feet","5,500 feet",250 seats,,,"435,000 pounds","335,000 pounds","430,000 pounds","400,000 pounds",3 x GE CF6-6,460 knots,"4,520 pounds per engine per hour","6,000 pounds","2,000 pounds","Center, Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
DC-10-30,McDonnell-Douglas DC-10 Series 30,"AFV, DVA","6,500 Statute Miles","9,000 feet","5,500 feet",250 seats,D10,,"583,000 pounds","335,000 pounds","580,000 pounds","410,000 pounds",3 x GE CF6-50,460 knots,"4,625 pounds per engine per hour","6,000 pounds","2,000 pounds","Center, Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
DC-10-40,McDonnell-Douglas DC-10 Series 40,"AFV, DVA","6,500 Statute Miles","9,000 feet","5,500 feet",250 seats,,,"532,000 pounds","368,000 pounds","530,000 pounds","403,000 pounds",3 x P&W JT9D,460 knots,"5,700 pounds per engine per hour","6,000 pounds","2,000 pounds","Center, Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
DC-2,Douglas DC-2,"AFV, DVA","1,085 Statute Miles",800 feet,"1,200 feet",14 seats,DC2,This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS60),"18,600 pounds","16,000 pounds","18,561 pounds","18,000 pounds",2 x Wright SGR-1820-F52 Cyclone,151 knots,325 pounds per engine per hour,500 pounds,49 pounds,"Left Main, Left Aux, Right Main, Right Aux",Fill to 0 percent before filling Secondary tanks,"Center, Center 2",Fill to 0 percent before filling Other tanks,NONE
DC-3,Douglas DC-3,"AFV, DVA","1,600 Statute Miles","1,500 feet","2,080 feet",26 seats,DC3,,"26,900 pounds","22,375 pounds","26,900 pounds","26,200 pounds",2 x 895-kW Pratt and Whitney R-1830,178 knots,325 pounds per engine per hour,500 pounds,49 pounds,"Left Main, Left Aux, Right Main, Right Aux",Fill to 0 percent before filling Secondary tanks,"Center, Center 2",Fill to 0 percent before filling Other tanks,NONE
DC-4,Douglas DC-4,"AFV, DVA","4,250 Statute Miles","2,000 feet","2,000 feet",74 seats,DC4,,"73,000 pounds",1 pounds,"73,000 pounds","63,500 pounds",4 x P&W Twin Wasp R-2000,180 knots,680 pounds per engine per hour,800 pounds,200 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
DC-6,Douglas DC-6,"AFV, DVA","3,900 Statute Miles","5,000 feet","3,900 feet",76 seats,D6F,,"107,000 pounds","67,970 pounds","97,200 pounds","91,185 pounds",4 x R-2800-CA-15,501 knots,653 pounds per engine per hour,"2,000 pounds",100 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,"Left Aux, Right Aux",Fill to 0 percent before filling Other tanks,NONE
DC-6B,Douglas DC-6B,"AFV, DVA","4,100 Statute Miles","5,900 feet","3,900 feet",89 seats,D6F,,"107,000 pounds","83,200 pounds","107,000 pounds","91,189 pounds",4 x R-2800-CB-17,501 knots,632 pounds per engine per hour,"2,000 pounds",100 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,"Left Aux, Right Aux",Fill to 0 percent before filling Other tanks,NONE
DC-7,Douglas DC-7,"AFV, DVA","4,605 Statute Miles","6,360 feet","6,100 feet",102 seats,DC7,,"143,500 pounds","109,000 pounds","143,000 pounds","109,000 pounds",4 x Wright R3350,270 knots,693 pounds per engine per hour,"1,000 pounds",300 pounds,"Center, Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
DC-7C,DC-7C Seven Seas,"AFV, DVA","5,934 Statute Miles","6,360 feet","5,100 feet",105 seats,DC7C,,"143,000 pounds","101,500 pounds","136,700 pounds","111,000 pounds",4 x Wright R-3350-988T,272 knots,800 pounds per engine per hour,"1,600 pounds",600 pounds,"Left Aux, Right Aux, External, External 2",Fill to 90 percent before filling Secondary tanks,NONE,Fill to 90 percent before filling Other tanks,NONE
DC-8-11,Douglas DC-8 Series 11,"AFV, DVA","2,740 Statute Miles","8,800 feet","5,500 feet",119 seats,D81,,"261,500 pounds","165,900 pounds","260,500 pounds","190,500 pounds",4 x P&W JT3C,450 knots,"3,850 pounds per engine per hour","5,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,"Left Aux, Right Aux",Fill to 0 percent before filling Other tanks,NONE
DC-8-21,DC-8 Series 21,"AFV, DVA","4,660 Statute Miles","8,800 feet","5,500 feet",132 seats,D82,,"277,000 pounds","167,500 pounds","276,000 pounds","193,000 pounds",4 x P&W JT4A,480 knots,"3,750 pounds per engine per hour","5,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,"Left Aux, Right Aux",Fill to 0 percent before filling Other tanks,NONE
DC-8-33,Douglas DC-8 Series 33,"AFV, DVA","6,250 Statute Miles","9,000 feet","6,000 feet",132 seats,D83,,"316,000 pounds","215,000 pounds","315,000 pounds","207,000 pounds",4 x P&W JT4A,450 knots,"3,350 pounds per engine per hour","5,000 pounds","2,000 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,"Left Aux, Right Aux",Fill to 0 percent before filling Other tanks,NONE
DC-8-42,Douglas DC-8 Series 42,"AFV, DVA","3,250 Statute Miles","9,200 feet","6,700 feet",132 seats,D84,,"311,000 pounds","215,000 pounds","310,000 pounds","199,500 pounds",4 x RR Conway 509,450 knots,"3,200 pounds per engine per hour","6,000 pounds","2,000 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,"Left Aux, Right Aux",Fill to 0 percent before filling Other tanks,NONE
DC-8-51,Douglas DC-8 Series 51,"AFV, DVA","3,750 Statute Miles","8,800 feet","5,500 feet",132 seats,D85,,"277,000 pounds","215,000 pounds","276,000 pounds","199,500 pounds",4 x P&W JT3D-3,480 knots,"3,150 pounds per engine per hour","6,000 pounds","2,000 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,"Left Aux, Right Aux",Fill to 0 percent before filling Other tanks,NONE
