ICAO,Name,State/Territory,Country,Timezone
KELM,Elmira Corning Regional Airport,New York,United States,America/New_York
KELP,El Paso International Airport,Texas,United States,America/Denver
KELY,Ely Airport Yelland Field,Nevada,United States,America/Los_Angeles
YEML,Emerald Airport,Queensland,Australia,Australia/Brisbane
ZHES,Enshi Xujiaping Airport,,China,Asia/Shanghai
HUEN,Entebbe International Airport,,Uganda,Africa/Kampala
KEPH,Ephrata Municipal Airport,Washington,United States,America/Los_Angeles
KERI,Erie International Tom Ridge Field,Pennsylvania,United States,America/New_York
KESC,Delta County Airport,Michigan,United States,America/New_York
SAVE,Esquel Brigadier Antonio Parodi International Airport,,Argentina,America/Catamarca
EDLE,Essen-Mulheim Airport,,Germany,Europe/Berlin
KEUG,Eugene Airport,Oregon,United States,America/Los_Angeles
KACV,California Redwood Coast-Humboldt County Airport,California,United States,America/Los_Angeles
KEVV,Evansville Regional Airport,Indiana,United States,America/Chicago
PAFA,Fairbanks International Airport,Alaska,United States,America/Anchorage
KFRM,Fairmont Municipal Airport,Minnesota,United States,America/Chicago
KFAR,Hector International Airport,North Dakota,United States,America/Chicago
LPFR,Faro - Gago Coutinho International Airport,,Portugal,Europe/Lisbon
KXNA,Northwest Arkansas National Airport,Arkansas,United States,America/Chicago
KFYV,Drake Field,Arkansas,United States,America/Chicago
KFHB,Fernandina Beach,Florida,United States,America/New_York
KFIT,Fitchburg Municipal Airport,Massachusetts,United States,America/New_York
KFLG,Flagstaff Pulliam Airport,Arizona,United States,America/Phoenix
KFNT,Bishop International Airport,Michigan,United States,America/New_York
LIRQ,"Florence Airport, Peretola",,Italy,Europe/Rome
KFLO,Florence Regional Airport,South Carolina,United States,America/New_York
SBFL,Hercilio Luz International Airport,,Brazil,America/Sao_Paulo
SWOB,Fonte Boa Airport,,Brazil,America/Boa_Vista
SARF,Formosa National Airport,,Argentina,America/Cordoba
SBFZ,Pinto Martins International Airport,,Brazil,America/Fortaleza
TFFF,Martinique Aime Cesaire International Airport,,Martinique,America/Martinique
KFOD,Fort Dodge Regional Airport,Iowa,United States,America/Chicago
KFLL,Fort Lauderdale Hollywood International Airport,Florida,United States,America/New_York
CYMM,Fort McMurray International Airport,Alberta,Canada,America/Edmonton
KRSW,Southwest Florida International Airport,Florida,United States,America/New_York
CYYE,Fort Nelson Airport,British Columbia,Canada,America/Vancouver
KFPR,Treasure Coast International Airport,Florida,United States,America/New_York
CYFS,Fort Simpson Airport,Northwest Territories,Canada,America/Edmonton
KFSM,Fort Smith Regional Airport,Arkansas,United States,America/Chicago
CYXJ,Fort St John / North Peace Regional Airport,British Columbia,Canada,America/Dawson_Creek
KFWA,Fort Wayne International Airport,Indiana,United States,America/New_York
KFTW,Fort Worth Meacham International Airport,Texas,United States,America/Chicago
KFFT,Capital City Airport,Kentucky,United States,America/New_York
EDDF,Frankfurt Main Airport,,Germany,Europe/Berlin
CYFC,Fredericton International Airport,New Brunswick,Canada,America/Halifax
MYGF,Grand Bahama International Airport,,Bahamas,America/Nassau
GFLL,Lungi International Airport,,Sierra Leone,Africa/Freetown
KFAT,Fresno Yosemite International Airport,California,United States,America/Los_Angeles
EDNY,Bodensee Airport Friedrichshafen,,Germany,Europe/Berlin
KVPS,Destin-Fort Walton Beach Airport,Florida,United States,America/Chicago
RJFF,Fukuoka Airport,,Japan,Asia/Tokyo
ZSFY,Fuyang Xiguan Airport,,China,Asia/Shanghai
ZSFZ,Fuzhou Changle International Airport,,China,Asia/Shanghai
KGNV,Gainesville Regional Airport,Florida,United States,America/New_York
PAGA,Edward G. Pitka Sr Airport,Alaska,United States,America/Anchorage
CYQX,Gander International Airport,Newfoundland And Labrador,Canada,America/St_Johns
ZSGZ,Ganzhou Huangjin Airport,,China,Asia/Shanghai
OEGS,Prince Naif bin Abdulaziz International Airport,,Saudi Arabia,Asia/Riyadh
EPGD,Gdansk Lech Waesa Airport,,Poland,Europe/Warsaw
LSGG,Geneva International Airport,,Switzerland,Europe/Paris
LIMJ,Genoa Cristoforo Colombo Airport,,Italy,Europe/Rome
MYEF,Exuma International Airport,,Bahamas,America/Nassau
SYCJ,Cheddi Jagan International Airport,,Guyana,America/Guyana
VVDB,Dien Bien Phu Airport,,Vietnam,Asia/Saigon
LXGB,Gibraltar Airport,,Gibraltar,Europe/Gibraltar
LEGE,Girona-Costa Brava Airport,,Spain,Europe/Madrid
OEGN,Jizan Regional Airport / King Abdullah bin Abdulaziz Airport,,Saudi Arabia,Asia/Riyadh
KGGW,Glasgow Valley County Airport Wokal Field,Montana,United States,America/Denver
EGPK,Glasgow Prestwick Airport,,United Kingdom,Europe/London
EGPF,Glasgow Airport,,United Kingdom,Europe/London
VOGO,Goa Dabolim International Airport,,India,Asia/Kolkata
SBGO,Santa Genoveva International Airport,,Brazil,America/Sao_Paulo
ZLGM,Golmud Airport,,China,Asia/Shanghai
CYYR,Goose Bay Airport,Newfoundland And Labrador,Canada,America/Halifax
WAMG,Jalaluddin Airport,,Indonesia,Asia/Makassar
ESGG,Goteborg Landvetter Airport,,Sweden,Europe/Stockholm
MYEM,Governor's Harbour Airport,,Bahamas,America/Nassau
KGCN,Grand Canyon National Park Airport,Arizona,United States,America/Phoenix
MWCR,Owen Roberts International Airport,,Cayman Islands,America/Cayman
CYQU,Grande Prairie Airport,Alberta,Canada,America/Edmonton
KGFK,Grand Forks International Airport,North Dakota,United States,America/Chicago
KGRI,Central Nebraska Regional Airport,Nebraska,United States,America/Chicago
KGRR,Gerald R. Ford International Airport,Michigan,United States,America/New_York
LOWG,Graz Airport,,Austria,Europe/Vienna
KGTF,Great Falls International Airport,Montana,United States,America/Denver
KGRB,Austin Straubel International Airport,Wisconsin,United States,America/Chicago
KGSO,Piedmont Triad International Airport,North Carolina,United States,America/New_York
KGLH,Mid Delta Regional Airport,Mississippi,United States,America/Chicago
KPGV,Pitt-Greenville Airport,North Carolina,United States,America/New_York
KGMU,Greenville Downtown Airport,South Carolina,United States,America/New_York
KGSP,Greenville-Spartanburg International Airport,South Carolina,United States,America/New_York
KGWO,GreenwoodLeflore Airport,Mississippi,United States,America/Chicago
EHGG,Groningen Airport Eelde,,Netherlands,Europe/Amsterdam
KGON,Groton New London Airport,Connecticut,United States,America/New_York
MMGL,Guadalajara International Airport,,Mexico,America/Mexico_City
PGUM,Antonio B. Won Pat International Airport,,Guam,Pacific/Guam
ZGGG,Guangzhou Baiyun International Airport,,China,Asia/Shanghai
MGGT,La Aurora International Airport,,Guatemala,America/Guatemala
SEGU,Jose Joaquin de Olmedo International Airport,,Ecuador,America/Guayaquil
SLGY,Capitan de Av. Emilio Beltran Airport,,Bolivia,America/La_Paz
EGJB,Guernsey Airport,,Guernsey,Europe/Guernsey
ZGKL,Guilin Liangjiang International Airport,,China,Asia/Shanghai
ZUGY,Guiyang Longdongbao International Airport,,China,Asia/Shanghai
KGPT,Gulfport Biloxi International Airport,Mississippi,United States,America/Chicago
KGUC,Gunnison Crested Butte Regional Airport,Colorado,United States,America/Denver
OEGT,Gurayat Domestic Airport,,Saudi Arabia,Asia/Riyadh
RKJJ,Gwangju Airport,,South Korea,Asia/Seoul
ZJHK,Haikou Meilan International Airport,,China,Asia/Shanghai
ZYMD,Mudanjiang Hailang International Airport,,China,Asia/Shanghai
ZBLA,Hulunbuir Hailar Airport,,China,Asia/Shanghai
OEHL,Ha'il Airport,,Saudi Arabia,Asia/Riyadh
VVCI,Cat Bi International Airport,,Vietnam,Asia/Saigon
CYHZ,Halifax / Stanfield International Airport,Nova Scotia,Canada,America/Halifax
EDDH,Hamburg Helmut Schmidt Airport,,Germany,Europe/Berlin
TXKF,L.F. Wade International Airport,,Bermuda,Atlantic/Bermuda
YBHM,Hamilton Island Airport,Queensland,Australia,Australia/Brisbane
CYHM,John C. Munro Hamilton International Airport,Ontario,Canada,America/Toronto
KCMX,Houghton County Memorial Airport,Michigan,United States,America/New_York
ZBHD,Handan Airport,,China,Asia/Shanghai
ZSHC,Hangzhou Xiaoshan International Airport,,China,Asia/Shanghai
EDDV,Hannover Airport,,Germany,Europe/Berlin
VVNB,Noi Bai International Airport,,Vietnam,Asia/Saigon
FVRG,Harare,,Zimbabwe,Africa/Harare
ZYHB,Harbin Taiping International Airport,,China,Asia/Shanghai
KHRL,Valley International Airport,Texas,United States,America/Chicago
KMDT,Harrisburg International Airport,Pennsylvania,United States,America/New_York
ENEV,Harstad/Narvik Airport,,Norway,Europe/Oslo
KBDL,Bradley International Airport,Connecticut,United States,America/New_York
TNCC,Hato International Airport,,Curacao,America/Curacao
KPIB,Hattiesburg Laurel Regional Airport,Mississippi,United States,America/Chicago
ENHD,"Haugesund Airport, Karmy",,Norway,Europe/Oslo
MUHA,Jose Marti International Airport,,Cuba,America/Havana
KHDN,Yampa Valley Airport,Colorado,United States,America/Denver
ZSOF,Hefei Xinqiao International Airport,,China,Asia/Shanghai
ZYHE,Heihe Aihui Airport,,China,Asia/Shanghai
KHLN,Helena Regional Airport,Montana,United States,America/Denver
EFHK,Helsinki Vantaa Airport,,Finland,Europe/Helsinki
ZGHY,Hengyang Nanyue Airport,,China,Asia/Shanghai
LGIR,Heraklion International Nikos Kazantzakis Airport,,Greece,Europe/Athens
MMHO,General Ignacio L. Pesqueira International Airport,,Mexico,America/Hermosillo
TLPL,Hewanorra International Airport,,Saint Lucia,America/St_Lucia
KHIB,Range Regional Airport,Minnesota,United States,America/Chicago
KHKY,Hickory Regional Airport,North Carolina,United States,America/New_York
PHTO,Hilo International Airport,Hawaii,United States,Pacific/Honolulu
KHXD,Hilton Head Airport,South Carolina,United States,America/New_York
RJOA,Hiroshima Airport,,Japan,Asia/Tokyo
YMHB,Hobart International Airport,Tasmania,Australia,Australia/Melbourne
VVTS,Tan Son Nhat International Airport,,Vietnam,Asia/Saigon
ZBHH,Hohhot Baita International Airport,,China,Asia/Shanghai
PAHO,Homer Airport,Alaska,United States,America/Anchorage
VHHH,Hong Kong International Airport,,Hong Kong,Asia/Hong_Kong
VHHX,Hong Kong,,Hong Kong,Asia/Hong_Kong
AGGH,Honiara International Airport,,Solomon Islands,Pacific/Guadalcanal
PHNL,Daniel K. Inouye International Airport,Hawaii,United States,Pacific/Honolulu
KHQM,Bowerman Airport,Washington,United States,America/Los_Angeles
ZWTN,Hotan Airport,,China,Asia/Shanghai
KHUL,Houlton International Airport,Maine,United States,America/New_York
KIAH,George Bush Intercontinental Airport,Texas,United States,America/Chicago
KHOU,William P. Hobby Airport,Texas,United States,America/Chicago
ZSSH,Huai'an Lianshui Airport,,China,Asia/Shanghai
ZSLQ,Taizhou Luqiao Airport,,China,Asia/Shanghai
ZLHX,Huatugou Airport,,China,Asia/Shanghai
MMBT,Bahias de Huatulco International Airport,,Mexico,America/Mexico_City
VVPB,Phu Bai International Airport,,Vietnam,Asia/Saigon
ZGHZ,Huizhou Pingtan Airport,,China,Asia/Shanghai
EGNJ,Humberside Airport,,United Kingdom,Europe/London
KHTS,Tri-State Airport / Milton J. Ferguson Field,West Virginia,United States,America/New_York
KHSV,Huntsville International Airport,Alabama,United States,America/Chicago
KHON,Huron Regional Airport,South Dakota,United States,America/Chicago
KHYA,Cape Cod Gateway Airport,Massachusetts,United States,America/New_York
VOHY,Begumpet Airport,,India,Asia/Calcutta
VOHS,Rajiv Gandhi International Airport,,India,Asia/Kolkata
LRIA,Iasi International Airport,,Romania,Europe/Bucharest
LEIB,Ibiza Airport,,Spain,Europe/Madrid
KIDA,Idaho Falls Regional Airport,Idaho,United States,America/Denver
SARI,Cataratas Del Iguazu International Airport,,Argentina,America/Cordoba
SBFI,Cataratas International Airport,,Brazil,America/Sao_Paulo
SBIL,Bahia - Jorge Amado Airport,,Brazil,America/Fortaleza
PAIL,Iliamna Airport,Alaska,United States,America/Anchorage
KIPL,Imperial County Airport,California,United States,America/Los_Angeles
KIND,Indianapolis International Airport,Indiana,United States,America/New_York
LOWI,Innsbruck Airport,,Austria,Europe/Vienna
KINL,Falls International Airport,Minnesota,United States,America/Chicago
EGPE,Inverness Airport,,United Kingdom,Europe/London
KIYK,Inyokern Airport,California,United States,America/Los_Angeles
SPQT,Coronel FAP Francisco Secada Vignetta International Airport,,Peru,America/Lima
KIWD,Gogebic Iron County Airport,Michigan,United States,America/Menominee
TJVQ,Antonio Rivera Rodriguez Airport,,Puerto Rico,America/Puerto_Rico
OPRN,PAF Base Nur Khan (Benazir Bhutto International Airport),,Pakistan,Asia/Karachi
OPIS,Islamabad International Airport,,Pakistan,Asia/Karachi
KISP,Long Island MacArthur Airport,New York,United States,America/New_York
LTBA,Istanbul Ataturk Airport,,Turkey,Europe/Istanbul
LTFM,Istanbul Airport,,Turkey,Europe/Istanbul
KITH,Ithaca Tompkins Regional Airport,New York,United States,America/New_York
MMZH,Ixtapa-Zihuatanejo International Airport,,Mexico,America/Mexico_City
LTBJ,Adnan Menderes International Airport,,Turkey,Europe/Istanbul
KHKS,Hawkins Field,Mississippi,United States,America/Chicago
KJAC,Jackson Hole Airport,Wyoming,United States,America/Denver
KJXN,Jackson County Airport/Reynolds Field,Michigan,United States,America/New_York
KJAN,Jackson-Medgar Wiley Evers International Airport,Mississippi,United States,America/Chicago
KMKL,McKellar-Sipes Regional Airport,Tennessee,United States,America/Chicago
KJAX,Jacksonville International Airport,Florida,United States,America/New_York
WIHH,Halim Perdanakusuma International Airport,,Indonesia,Asia/Jakarta
WIII,Soekarno-Hatta International Airport,,Indonesia,Asia/Jakarta
KJMS,Jamestown Regional Airport,North Dakota,United States,America/Chicago
KJVL,Southern Wisconsin Regional Airport,Wisconsin,United States,America/Chicago
OIZJ,Jask Airport,,Iran,Asia/Tehran
WAJJ,Dortheys Hiyo Eluay International Airport,,Indonesia,Asia/Jayapura
OEJN,King Abdulaziz International Airport,,Saudi Arabia,Asia/Riyadh
RKPC,Jeju International Airport,,South Korea,Asia/Seoul
EGJJ,Jersey Airport,,Jersey,Europe/Jersey
ZYJD,Daxing'anling Elunchun Airport,,China,Asia/Shanghai
ZYJM,Jiamusi Songjiang International Airport,,China,Asia/Shanghai
ZLJQ,Jiayuguan International Airport,,China,Asia/Shanghai
ZSJN,Jinan Yaoqiang International Airport,,China,Asia/Shanghai
ZLJC,Jinchang Jinchuan Airport,,China,Asia/Shanghai
ZSJA,Jian,,China,Asia/Shanghai
ZPJH,Xishuangbanna Gasa International Airport,,China,Asia/Shanghai
ZYJZ,Jinzhou Bay Airport,,China,Asia/Shanghai
ZYJX,Jixi Xingkaihu Airport,,China,Asia/Shanghai
SBJP,Presidente Castro Pinto International Airport,,Brazil,America/Fortaleza
VIJO,Jodhpur Airport,,India,Asia/Calcutta
FAOR,O.R. Tambo International Airport,,South Africa,Africa/Johannesburg
SBJU,Orlando Bezerra de Menezes Airport,,Brazil,America/Fortaleza
HJJJ,Juba International Airport,,South Sudan,Africa/Juba
SASJ,Gobernador Horacio Guzman International Airport,,Argentina,America/Jujuy
PAJN,Juneau International Airport,Alaska,United States,America/Anchorage
OAKB,Kabul International Airport,,Afghanistan,Asia/Kabul
RJFK,Kagoshima Airport,,Japan,Asia/Tokyo
PHOG,Kahului International Airport,Hawaii,United States,Pacific/Honolulu
KAZO,Kalamazoo/Battle Creek International Airport,Michigan,United States,America/New_York
YPKG,Kalgoorlie Boulder Airport,Western Australia,Australia,Australia/Perth
KGPI,Glacier Park International Airport,Montana,United States,America/Denver
CYKA,Kamloops John Moose Fulton Field Regional Airport,British Columbia,Canada,America/Vancouver
OAKN,Ahmad Shah Baba International Airport,,Afghanistan,Asia/Kabul
BGSF,Kangerlussuaq International Airport,,Greenland,America/Godthab
DNKN,Mallam Aminu Kano International Airport,,Nigeria,Africa/Lagos
KMCI,Kansas City International Airport,Missouri,United States,America/Chicago
RCKH,Kaohsiung International Airport,,Taiwan,Asia/Taipei
OPKC,Jinnah International Airport,,Pakistan,Asia/Karachi
ZWKM,Karamay Airport,,China,Asia/Shanghai
YPKA,Karratha Airport,Western Australia,Australia,Australia/Perth
ZWSH,Kashgar Laining International Airport,,China,Asia/Shanghai
VNKT,Tribhuvan International Airport,,Nepal,Asia/Katmandu
KEEN,Dillant Hopkins Airport,New Hampshire,United States,America/New_York
BIKF,Keflavik International Airport,,Iceland,Atlantic/Reykjavik
CYLW,Kelowna International Airport,British Columbia,Canada,America/Vancouver
PAEN,Kenai Municipal Airport,Alaska,United States,America/Anchorage
WAWW,Haluoleo Airport,,Indonesia,Asia/Makassar
PAKT,Ketchikan International Airport,Alaska,United States,America/Anchorage
KEYW,Key West International Airport,Florida,United States,America/New_York
HSSK,Khartoum International Airport,,Sudan,Africa/Khartoum
HRYR,Kigali International Airport,,Rwanda,Africa/Kigali
HTKJ,Kilimanjaro International Airport,,Tanzania,Africa/Dar_es_Salaam
KGRK,Killeen Regional Airport / Robert Gray Army Airfield,Texas,United States,America/Chicago
KILE,Skylark Field,Texas,United States,America/Chicago
KIGM,Kingman Airport,Arizona,United States,America/Phoenix
PAKN,King Salmon Airport,Alaska,United States,America/Anchorage
KIMT,Ford Airport,Michigan,United States,America/Chicago
MKJP,Norman Manley International Airport,,Jamaica,America/Jamaica
FZAA,Ndjili International Airport,,Democratic Republic Of The Congo,Africa/Kinshasa
KISO,Kinston Regional Jetport At Stallings Field,North Carolina,United States,America/New_York
ENKR,"Kirkenes Airport, Hybuktmoen",,Norway,Europe/Oslo
ESNQ,Kiruna Airport,,Sweden,Europe/Stockholm
HKKI,Kisumu International Airport,,Kenya,Africa/Nairobi
CYKF,Region of Waterloo International Airport,Ontario,Canada,America/Toronto
LOWK,Klagenfurt Airport,,Austria,Europe/Vienna
KLMT,Crater Lake-Klamath Regional Airport,Oregon,United States,America/Los_Angeles
KTYS,McGhee Tyson Airport,Tennessee,United States,America/New_York
VOCI,Cochin International Airport,,India,Asia/Calcutta
PADQ,Kodiak Airport,Alaska,United States,America/Anchorage
EDDK,Cologne Bonn Airport,,Germany,Europe/Berlin
RJNK,Komatsu Airport / JASDF Komatsu Air Base,,Japan,Asia/Tokyo
PHKO,Ellison Onizuka Kona International Airport at Keahole,Hawaii,United States,Pacific/Honolulu
ZWKL,Korla Licheng Airport,,China,Asia/Shanghai
PTRO,Roman Tmetuchl International Airport,,Palau,Pacific/Palau
LGKO,"Kos International Airport ""Ippokratis""",,Greece,Europe/Athens
LZKZ,Kosice International Airport,,Slovakia,Europe/Bratislava
WBKK,Kota Kinabalu International Airport,,Malaysia,Asia/Kuala_Lumpur
PAOT,Ralph Wien Memorial Airport,Alaska,United States,America/Anchorage
EPKK,Krakow John Paul II International Airport,,Poland,Europe/Warsaw
ENCN,Kristiansand Airport,,Norway,Europe/Oslo
ENKB,"Kristiansund Airport, Kvernberget",,Norway,Europe/Oslo
WMKK,Kuala Lumpur International Airport,,Malaysia,Asia/Kuala_Lumpur
BGKK,Kulusuk Airport,,Greenland,America/Nuuk
RJFT,Kumamoto Airport,,Japan,Asia/Tokyo
ZPPP,Kunming Changshui International Airport,,China,Asia/Shanghai
ZPPZ,Kunming,,China,Asia/Shanghai
YPKU,East Kimberley Regional (Kununurra) Airport,Western Australia,Australia,Australia/Perth
WATT,El Tari Airport,,Indonesia,Asia/Makassar
RJCK,Kushiro Airport,,Japan,Asia/Tokyo
OKKK,Kuwait International Airport,,Kuwait,Asia/Kuwait
UKBB,Boryspil International Airport,,Ukraine,Europe/Kiev
KLCI,Laconia Municipal Airport,New Hampshire,United States,America/New_York
LECO,A Coruna Airport,,Spain,Europe/Madrid
KLSE,La Crosse Regional Airport,Wisconsin,United States,America/Chicago
KLAF,Purdue University Airport,Indiana,United States,America/New_York
KLFT,Lafayette Regional Airport,Louisiana,United States,America/Chicago
DNMM,Murtala Muhammed International Airport,,Nigeria,Africa/Lagos
OPLA,Allama Iqbal International Airport,,Pakistan,Asia/Karachi
LPLA,Lajes Airport,,Portugal,Atlantic/Azores
KLCH,Lake Charles Regional Airport,Louisiana,United States,America/Chicago
KLCQ,Lake City Gateway Airport,Florida,United States,America/New_York
KTVL,Lake Tahoe Airport,California,United States,America/Los_Angeles
LICA,Lamezia Terme Sant'Eufemia International Airport,,Italy,Europe/Rome
ZPJM,Lancang Jingmai Airport,,China,Asia/Shanghai
KLAN,Capital Region International Airport,Michigan,United States,America/New_York
ZLLL,Lanzhou Zhongchuan International Airport,,China,Asia/Shanghai
SLLP,El Alto International Airport,,Bolivia,America/La_Paz
MMLP,Manuel Marquez de Leon International Airport,,Mexico,America/Mazatlan
KLRD,Laredo International Airport,Texas,United States,America/Chicago
SANL,Capitan V A Almonacid Airport,,Argentina,America/Argentina/La_Rioja
LCLK,Larnaca International Airport,,Cyprus,Asia/Nicosia
MDLR,Casa De Campo International Airport,,Dominican Republic,America/Santo_Domingo
GCLP,Gran Canaria Airport,,Spain,Atlantic/Canary
KLAS,Harry Reid International Airport,Nevada,United States,America/Los_Angeles
KLBE,Arnold Palmer Regional Airport,Pennsylvania,United States,America/New_York
YMLT,Launceston Airport,Tasmania,Australia,Australia/Melbourne
KLWM,Lawrence Municipal Airport,Massachusetts,United States,America/New_York
KLAW,Lawton Fort Sill Regional Airport,Oklahoma,United States,America/Chicago
KLXV,Lake County Airport,Colorado,United States,America/Denver
KLEB,Lebanon Municipal Airport,New Hampshire,United States,America/New_York
EGNM,Leeds Bradford Airport,,United Kingdom,Europe/London
EHLW,Leeuwarden Air Base,,Netherlands,Europe/Amsterdam
EDDP,Leipzig/Halle Airport,,Germany,Europe/Berlin
MMLO,Guanajuato International Airport,,Mexico,America/Mexico_City
CYQL,Lethbridge County Airport,Alberta,Canada,America/Edmonton
SKLT,Alfredo Vasquez Cobo International Airport,,Colombia,America/Bogota
KLWB,Greenbrier Valley Airport,West Virginia,United States,America/New_York
KLWS,Lewiston Nez Perce County Airport,Idaho,United States,America/Los_Angeles
KLWT,Lewistown Municipal Airport,Montana,United States,America/Denver
KLEX,Blue Grass Airport,Kentucky,United States,America/New_York
ZULS,Lhasa Gonggar International Airport,,China,Asia/Shanghai
ZSLG,Lianyungang Huaguoshan International Airport,,China,Asia/Shanghai
MRLB,Daniel Oduber Quiros International Airport,,Costa Rica,America/Costa_Rica
FOOL,Libreville Leon M'ba International Airport,,Gabon,Africa/Libreville
EBLG,Liege Airport,,Belgium,Europe/Brussels
PHLI,Lihue Airport,Hawaii,United States,Pacific/Honolulu
ZPLJ,Lijiang Sanyi International Airport,,China,Asia/Shanghai
FWKI,Kamuzu International Airport,,Malawi,Africa/Blantyre
SPJC,Lima,,Peru,America/Lima
ZPLC,Lincang Boshang Airport,,China,Asia/Shanghai
KLNK,Lincoln Airport,Nebraska,United States,America/Chicago
ESSL,Linkoping City Airport,,Sweden,Europe/Stockholm
ZSLY,Linyi Qiyang Airport,,China,Asia/Shanghai
LOWL,Linz-Horsching Airport,,Austria,Europe/Vienna
LPPT,Lisbon Humberto Delgado Airport,,Portugal,Europe/Lisbon
KLIT,Bill & Hillary Clinton National Airport/Adams Field,Arkansas,United States,America/Chicago
ZGZH,Liuzhou Bailian Airport / Bailian Air Base,,China,Asia/Shanghai
EGGP,Liverpool John Lennon Airport,,United Kingdom,Europe/London
FLLI,Harry Mwanga Nkumbula International Airport,,Zambia,Africa/Lusaka
LJLJ,Ljubljana Joze Pucnik Airport,,Slovenia,Europe/Ljubljana
KLGU,Logan-Cache Airport,Utah,United States,America/Denver
DXXX,LomeTokoin International Airport,,Togo,Africa/Lome
EGLC,London City Airport,,United Kingdom,Europe/London
EGKK,London Gatwick Airport,,United Kingdom,Europe/London
EGLL,London Heathrow Airport,,United Kingdom,Europe/London
EGGW,London Luton Airport,,United Kingdom,Europe/London
EGMH,Manston,,United Kingdom,Europe/London
CYXU,London International Airport,Ontario,Canada,America/Toronto
